SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
8R-71IY-ZCJC,Ray-Ban RB2027 601/W1 PREDATOR 2 Sunglasses Black /Crystal Polarized Mirror Grey Lens.,,Ray Ban,mRB2027,e601W1,"PREDATOR 2 Ray-Ban RB2027 Predator 2 sunglasses take on the traditional Rectangle Sunglasses design with a Ray-Ban signature logo that is displayed on the thin temples. The inside of the Predator temple tips feature a subtle, striped texture treatment. Their wrapped fit creates a sporty look that is both casual and athletic.",sunglasses,144.99,Model: RB2027 PREDATOR 2.,Color: 601/W1 Black /Crystal Polarized Mirror Grey Lens.,"Original Ray Ban Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban,predator,rb2027 601/w1,Sunglasses,aviator,grey,plastic,plastic,aviator,non-polarized,62,19,130,unisex-adult,Black,
13-TGAJ-I5I1,Ray-Ban RB2132 601S78 Wayfarer Black / Polarized Blue Gradient Lens 52mm,,Ray Ban,mRB2132,e601S78,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,154.99,Model: RB2132 New Wayfarer Matte.,Color: 601S78 Black / Polarized Blue Gradient Lens,"Original Ray Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 601s78 2132 polarized,new Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,blue,composite,gradient,wayfarer,polarized,52,18,145,unisex-adult,Black,prescription-ready
8D-IBKW-T1BB,Ray-Ban RB2132 601S78 Wayfarer Black / Polarized Blue Gradient Lens 55mm,,Ray Ban,mRB2132,e601S78,"New Wayfarer Matte The Ray-Ban New Wayfarer Matte guides the trend in everything that comes in matte. Using the same shape as the Original Wayfarer Sunglasses, New Wayfarer Matte sunglasses are a smaller interpretation of this infamous style. With an edgy touch and feel, Ray-Ban RB2132 New Wayfarer Matte sunglasses are a must-have for all fans.",sunglasses,154.99,Model: RB2132 New Wayfarer Matte.,Color: 601S78 Black / Polarized Blue Gradient Lens,"Original Ray Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 601s78 2132 polarized,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,blue,plastic,gradient,wayfarer,polarized,55,18,145,unisex-adult,Black,
UU-LFOO-05K3,Ray-Ban RB2132 605258 Wayfarer Black on Transparent / Green Polarized Lens 52mm,,Ray Ban,mRB2132,e605258,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,149.5,Model: RB2132 New Wayfarer Color Mix Polarized.,Color: 605258 Wayfarer Black on Transparent / Green Polarized Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132,Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,green,plastic,glass,wayfarer,polarized,52,18,145,unisex-adult,Black,prescription-ready
6B-YOSV-DL2A,Ray-Ban RB2132 605258 Wayfarer Black on Transparent / Green Polarized Lens 55mm,,Ray Ban,mRB2132,e605258,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,159.99,Model: RB2132 New Wayfarer Color Mix Polarized.,Color: 605258 Wayfarer Black on Transparent / Green Polarized Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift,rb2132 618371 Wayfarer Matte Black 2132,Wayfarer original 50mm 54 52mm 55mm women men,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,green,plastic,glass,wayfarer,polarized,55,18,145,unisex-adult,Black,prescription-ready
QA-TP2M-Y4X3,Ray-Ban RB2132 605371 Matte Blue on Transparent Frame / Grey Gradient Lens 55mm,,Ray Ban,mRB2132,e605371,,sunglasses,109.99,Model: RB2132 New Wayfarer Gradient.,Color: 605371 Matte Blue on Transparent Frame / Grey Gradient Lens.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Style: Wayfarer.,Ray Ban rayban ray-ban gift onesight,rb2132 Saretta Fielding Matte Black 2132 women,Wayfarer original 50mm 54mm 52mm 55mm,Sunglasses glasses frame shades men,polarized lens lenses authentic made in italy,grey,plastic,gradient,wayfarer,non-polarized,55,18,145,unisex-adult,Black,prescription-ready
HF-4NQX-XFWB,"Ray-Ban RB2132 6053M3 NEW WAYFARER Sunglasses Gradient Polarized ( Blue Frame / Gray Gradient Polarized Lens 6053M3 , 52)",,Ray-Ban,mRB2132,e6053M3,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,159.99,Model: RB2132 New Wayfarer Polarized Series.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Case color may occasionally vary.,Gender: Unisex,Made in Italy.,Ray Ban rayban ray-ban new original,gradient 55mm 52mm women,2132 new wayfarer color small large,made in italy auhtentic 6053m3,polarized lens lenses authentic frame shades glasses,,Composite,gradient,wayfarer,polarized,52,18,145,unisex-adult,Blue Frame / Gray Gradient Polarized Lens 6053M3,
M6-WA4A-2OUP,"Ray-Ban RB2132 6053M3 NEW WAYFARER Sunglasses Gradient Polarized ( Blue Frame / Gray Gradient Polarized Lens 6053M3 , 55)",,Ray-Ban,mRB2132,e6053M3,"Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,159.99,Model: RB2132 New Wayfarer Polarized Series.,"Original Ray-Ban Packaging, Box, Case and Cleaning Cloth included.",Case color may occasionally vary.,Gender: Unisex,Made in Italy.,Ray Ban rayban ray-ban new original,gradient 55mm 52mm women,2132 new wayfarer color small large,made in italy auhtentic 6053m3,polarized lens lenses authentic frame shades glasses,,Composite,gradient,wayfarer,polarized,55,18,145,unisex-adult,Blue Frame / Gray Gradient Polarized Lens 6053M3,
EL-87VZ-49EF,Ray-Ban RB2132 605485 Matte Bordeaux Frame / Light Brown Gradient Lens 52mm,,Ray Ban,mRB2132,e605485,"New Wayfarer Color Mix Using the same iconic shape as the classic Wayfarer Sunglasses, Ray-Ban RB2132 New Wayfarer Color Mix sunglasses are dressed in unique color combinations, for those who dare to wear them. This smaller interpretation of the Original Wayfarer comes in a softer eye shape, giving you what you need to express your individuality.",sunglasses,124.99,Model: RB2132 NEW WAYFARER COLOR MIX,Color: 605485 Matte Bordeaux Frame / Light Brown Gradient Lenses,Original Ray Ban Case and Cleaning Cloth included,Gender: Unisex.,Made in Italy.,Ray Ban,6054/85,Wayfarer,Sunglasses,rb605,red,plastic,plastic,wayfarer,non-polarized,52,18,135,unisex-adult,Brown,
GU-M0GL-N7NW,Ray-Ban RB2132 605485 Wayfarer Matte Bordeaux Frame / Light Brown Gradient Lens 55mm,,Ray Ban,mRB2132,e605485,,sunglasses,119.99,Model: RB2132 NEW WAYFARER COLOR MIX,Color: 605485 Matte Bordeaux Frame / Light Brown Gradient Lenses,"Original Ray Ban Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban,rb2132 605485,605485,Sunglasses,Wayfarer,red,plastic,plastic,wayfarer,non-polarized,55,18,135,unisex-adult,Brown,
C0-WDEL-YT3A,Ray-Ban RB2132 6054M2 Bordeaux Transparent Frame / Polarized Brown Gradient Lens 55mm,,Ray Ban,mRB2132,e6054M2,,sunglasses,149.99,Model: RB2132 New Wayfarer.,Color: 6054M2 Bordeaux Transparent Frame / Polarized Brown Gradient Lens.,"Original Ray Ban Packaging, Box, Case and Cleaning Cloth included.",Gender: Unisex.,Made in Italy.,Ray Ban rayban ray-ban gift,rb2132 601s78 2132 polarized,new Wayfarer original 50 54 52 55 mm,Sunglasses glasses frame shades,polarized lens lenses authentic made in italy,blue,plastic,gradient,wayfarer,polarized,55,18,145,unisex-adult,Black,prescription-ready
